P_NAME,P_MASS_EST,P_RADIUS_EST,P_PERIOD,P_DISTANCE,P_TEMP_EQUIL,S_TEMPERATURE,S_LUMINOSITY,S_RADIUS,S_MASS,S_METALLICITY
GJ 273 b,2.89,1.51,18.65,0.091,266,3382,0.01,0.29,0.29,0.09
Wolf 1061 c,3.41,1.66,17.87,0.089,275,3342,0.011,0.31,0.29,-0.09
Teegarden's Star b,1.05,1.02,4.91,0.025,267,2904,0.0008,0.11,0.09,-0.19
GJ 3323 b,2.02,1.23,5.36,0.034,265,3159,0.0013,0.12,0.16,-0.27
Kepler-442 b,2.38,1.35,112.31,0.409,235,4402,0.12,0.6,0.61,-0.37
K2-72 e,2.21,1.29,24.16,0.107,261,3360,0.012,0.33,0.27,0.0
TRAPPIST-1 d,0.41,0.77,4.05,0.021,267,2559,0.0006,0.12,0.08,0.04
GJ 667 C e,2.54,1.40,62.24,0.213,210,3350,0.021,1.0,0.33,-0.55
tau Cet e,3.93,1.81,162.87,0.547,285,5344,0.46,0.79,0.78,-0.55
Teegarden's Star c,1.11,1.04,11.41,0.044,202,2904,0.0008,0.11,0.09,-0.19
TRAPPIST-1 f,0.68,1.04,9.21,0.037,203,2559,0.0006,0.12,0.08,0.04
GJ 667 C c,3.81,1.78,28.14,0.125,274,3350,0.021,1.0,0.33,-0.55
Kepler-62 f,2.58,1.41,267.29,0.718,205,4925,0.22,0.64,0.69,-0.37
GJ 1061 d,1.68,1.16,13.03,0.054,221,2953,0.0017,0.16,0.12,-0.08
GJ 667 C f,2.54,1.40,39.03,0.156,245,3350,0.021,1.0,0.33,-0.55
Kepler-1632 b,6.65,2.47,448.30,1.190,270,6137,1.8,1.19,1.12,0.0
Kepler-174 d,5.42,2.19,247.35,0.677,206,4880,0.20,0.62,1.0,0.0
Kepler-443 b,6.14,2.35,177.67,0.498,249,4723,0.22,0.71,0.74,-0.01
Kepler-440 b,4.29,1.91,101.11,0.256,275,4134,0.08,0.56,0.57,-0.3
K2-9 b,5.70,2.25,18.45,0.091,276,3390,0.011,0.31,0.3,-0.25
Kepler-296 f,3.91,1.80,63.34,0.269,225,3740,0.04,0.48,0.5,-0.08
Kepler-26 e,6.39,2.41,46.83,0.22,263,3914,0.05,0.51,0.54,-0.13
Kepler-1544 b,3.83,1.78,168.81,0.557,248,4886,0.28,0.74,0.81,0.02
LHS 1140 b,6.98,1.73,24.74,0.094,212,3216,0.004,0.21,0.18,-0.24
Kepler-1090 b,5.70,2.25,198.68,0.634,267,5321,0.48,0.82,0.86,-0.04
GJ 163 c,6.80,2.50,25.63,0.126,269,3500,0.02,0.38,0.4,0.1
HD 40307 g,7.09,2.56,197.8,0.625,258,4956,0.39,1.0,0.77,-0.31
Kepler-1638 b,4.16,1.87,259.34,0.788,276,5710,0.86,0.95,0.97,-0.01
Kepler-1652 b,3.20,1.60,38.10,0.165,243,3638,0.023,0.38,0.4,-0.3
K2-18 b,8.92,2.37,32.94,0.146,257,3457,0.022,0.41,0.36,0.12
Kepler-1552 b,6.65,2.47,184.77,0.601,261,5202,0.40,0.78,0.85,-0.07
Kepler-1540 b,6.75,2.49,125.41,0.443,250,4540,0.18,0.69,0.74,0.1
GJ 3293 d,7.60,2.67,48.13,0.195,219,3466,0.021,0.4,0.42,0.02
GJ 357 d,6.10,2.34,55.66,0.204,199,3505,0.016,0.34,0.34,-0.12
Kepler-62 e,3.24,1.61,122.39,0.427,266,4925,0.22,0.64,0.69,-0.37
HD 218566 b,63.57,9.32,225.7,0.721,230,4730,0.32,0.85,0.76,0.28
K2-253 b,106.96,12.67,4.00,0.051,1239,6027,1.43,1.1,1.08,0.0
HD 133131 B b,794.57,13.22,5769.0,7.294,100,5805,1.01,1.0,0.93,-0.28
Kepler-413 b,67.06,4.35,66.26,0.358,307,4700,0.27,0.78,0.82,-0.2
alf Tau b,2056.35,12.68,628.96,1.467,993,4055,492.7,45.1,1.13,-0.27
HAT-P-15 b,616.59,11.88,10.86,0.098,818,5568,0.99,1.07,1.0,0.22
Kepler-177 c,7.63,7.10,49.41,10.0,255,5942,1.23,1.05,1.0,0.0
K2-238 b,273.33,14.57,3.20,0.046,1459,5630,2.28,1.59,1.19,0.34
WASP-140 b,775.50,16.14,2.24,0.032,1203,5260,0.52,0.87,0.9,0.12
GJ 832 b,216.12,14.00,3657.0,3.571,57,3472,0.032,1.0,0.45,-0.3
gam Lib c,1455.65,12.88,964.6,2.174,481,4822,59.68,11.1,1.47,-0.3
Kepler-51 d,7.63,9.70,130.19,0.509,360,6018,1.04,0.94,1.04,0.0
WASP-59 b,274.29,8.69,7.92,0.070,606,4650,0.16,0.61,0.72,-0.15
K2-121 b,43.92,7.50,5.19,0.052,722,4551,0.18,0.68,0.72,-0.04
Kepler-434 b,908.99,12.67,12.87,0.115,914,5977,2.18,1.38,1.2,0.25
HATS-60 b,210.40,12.93,3.56,0.048,1393,5688,2.00,1.46,1.1,0.34
WASP-173 A b,1172.79,13.45,1.39,0.025,1710,5800,1.25,1.11,1.05,0.16
Kepler-51 b,2.22,7.10,45.15,0.252,513,6018,1.04,0.94,1.04,0.0
HD 34445 b,260.62,13.89,1049.0,2.145,211,5879,2.04,1.38,1.14,0.18
HATS-24 b,718.29,15.64,1.35,0.024,1852,6125,1.58,1.12,1.07,-0.23
HD 45350 b,568.91,13.42,963.6,2.501,183,5616,1.19,1.0,1.02,0.29
OGLE-2015-BLG-0954L b,1080.62,13.04,365.0,1.6,255,5778,1.0,1.0,0.3,0.0
OGLE-TR-182 b,321.01,12.67,3.98,0.051,1235,5924,1.43,1.14,1.14,0.0
Qatar-5 b,1373.02,12.41,2.88,0.041,1296,5747,1.14,1.08,1.13,0.38
HD 50554 b,1574.52,12.83,1293.0,2.648,171,5987,1.20,1.02,1.04,-0.04
Kepler-139 c,11.38,3.39,157.07,0.586,367,5594,1.48,1.3,1.0,0.0
Kepler-483 b,10.38,3.21,30.23,0.206,747,6346,3.14,1.47,1.28,0.09
Kepler-1362 b,7.27,2.60,136.21,0.481,266,4857,0.27,0.74,0.8,0.06
Kepler-941 b,9.71,3.08,17.42,0.126,637,5539,0.62,0.86,0.89,-0.15
HD 106315 c,15.20,4.35,21.06,0.157,809,6327,2.43,1.3,1.09,-0.31
Kepler-1369 b,7.71,2.69,25.87,0.171,612,5761,0.97,0.99,0.99,0.0
Kepler-154 c,9.00,2.95,62.30,0.303,456,5690,0.94,1.0,1.0,0.0
Kepler-1419 b,8.54,2.86,42.52,0.239,525,5796,1.03,1.01,1.01,0.04
K2-90 b,7.27,2.60,13.73,0.096,502,4484,0.14,0.62,0.63,-0.23
K2-19 c,21.07,4.87,11.91,0.097,712,5430,0.58,0.86,0.93,0.1
K2-193 b,14.76,3.95,14.79,0.118,738,5817,0.99,0.98,1.01,0.0
Kepler-1094 b,10.26,3.18,78.10,0.373,485,6112,1.83,1.21,1.14,0.06
Kepler-148 c,12.63,3.60,4.18,0.05,958,5272,0.50,0.85,1.0,0.0
Kepler-1018 b,7.17,2.58,49.10,0.254,452,5518,0.64,0.88,0.91,-0.05
Kepler-228 c,7.76,2.70,4.13,0.052,1174,6043,1.22,1.01,1.0,0.0
Kepler-287 c,10.69,3.26,44.85,0.246,524,5806,1.08,1.03,1.0,0.0
Kepler-980 b,7.60,2.67,11.55,0.102,845,5935,1.25,1.06,1.05,0.01
Kepler-533 b,11.38,3.39,28.51,0.168,434,4758,0.24,0.72,0.78,0.01
OGLE-2018-BLG-0596L b,13.93,3.81,365.0,0.97,255,5778,1.0,1.0,0.23,0.0
K2-136 c,8.83,2.91,17.31,0.119,468,4499,0.16,0.66,0.74,0.15
Kepler-809 b,9.35,3.02,55.64,0.284,469,5734,0.93,0.98,0.99,0.04
Kepler-218 c,10.01,3.14,44.70,0.248,501,5502,0.92,1.06,1.0,0.0
K2-38 b,19.07,1.91,4.02,0.065,1172,5757,1.87,1.38,2.24,0.28
Kepler-232 c,14.06,3.83,11.38,0.101,799,5847,0.99,0.97,1.0,0.0
Kepler-661 b,9.65,3.07,6.03,0.058,674,4483,0.16,0.67,0.7,-0.05
Kepler-1019 b,2.72,1.46,1.41,0.022,1082,4433,0.16,0.67,0.7,0.01
Kepler-1423 b,1.22,1.06,23.96,0.150,486,4939,0.30,0.75,0.79,-0.02
Kepler-1271 b,2.79,1.48,3.03,0.043,1454,6143,1.93,1.23,1.13,-0.01
Kepler-282 b,1.00,1.01,9.22,0.082,818,5602,0.71,0.9,1.0,0.0
Kepler-310 b,1.80,1.19,13.93,0.111,719,5797,0.78,0.88,1.0,0.0
Kepler-323 b,2.65,1.43,1.68,0.028,1713,5987,1.60,1.18,1.0,0.0
Kepler-1445 b,0.85,0.96,10.60,0.098,970,6150,2.03,1.26,1.13,-0.03
Kepler-1156 b,2.31,1.32,11.90,0.102,798,5778,1.00,1.0,1.0,0.02
Kepler-90 b,2.28,1.31,7.01,0.074,1079,6080,1.76,1.2,1.2,-0.12
Kepler-1414 b,2.05,1.23,3.52,0.042,922,4951,0.30,0.75,0.8,-0.02
K2-203 b,2.44,1.37,9.70,0.082,670,5000,0.32,0.76,0.79,-0.07
K2-228 b,1.93,1.21,2.70,0.034,911,4715,0.19,0.65,0.71,-0.25
Kepler-271 c,0.82,0.95,7.41,0.072,852,5555,0.65,0.87,0.9,-0.13
K2-158 c,2.18,1.28,5.90,0.062,948,5503,0.74,0.95,0.92,0.07
Kepler-311 c,2.65,1.43,19.74,0.145,746,5905,1.54,1.19,1.0,0.0